,stop_id,on_street,cross_street,routes,boardings,alightings,location
2463,3235,63RD STREET,LOWE,63,191.9,316.6,"(41.7798779, -87.64080704)"
2464,3240,63RD STREET,ABERDEEN,63,68.3,167.3,"(41.7797107, -87.65195225)"
2465,3242,63RD STREET,THROOP,63,30.6,69.7,"(41.77961155, -87.65686727)"
2466,3243,63RD STREET,LOOMIS,63,40.1,114.9,"(41.77957206, -87.659259)"
2467,3244,63RD STREET,LAFLIN,63,62.7,203.9,"(41.77956658, -87.6616912)"
2468,3245,63RD STREET,GREEN LINE STATION,63,467.3,693.0,"(41.778812, -87.663683)"
2469,3246,63RD STREET,ASHLAND,63,349.6,74.5,"(41.77952869, -87.66459894)"
2470,3247,63RD STREET,PAULINA,63,34.2,81.7,"(41.77947274, -87.66649764)"
2471,3248,63RD STREET,WOOD,63,73.9,157.6,"(41.77946557, -87.66888622)"
2472,3249,63RD STREET,WOLCOTT,63,91.1,243.3,"(41.77940287, -87.67134785)"
2473,3251,63RD STREET,HOYNE,63,27.6,61.9,"(41.77936676, -87.67615837)"
2474,3254,63RD STREET,OAKLEY,63,18.4,134.3,"(41.77923395, -87.68098659)"
2475,3255,63RD STREET,WESTERN,63,323.7,719.7,"(41.77929499, -87.68337469)"
2476,3256,63RD STREET,CAMPBELL,63,90.7,174.3,"(41.77927091, -87.68595399)"
2477,3258,63RD STREET,WASHTENAW,63,37.7,220.8,"(41.77921923, -87.69085251)"
2478,3260,63RD STREET,FRANCISCO,63,29.8,123.1,"(41.77913263, -87.69570595)"
2479,3261,63RD STREET,SACRAMENTO,63,78.1,201.8,"(41.77912276, -87.69818544)"
2480,3262,63RD STREET,ALBANY,63,38.9,248.3,"(41.77907289, -87.70055501)"
2481,3264,63RD STREET,SPAULDING,63,26.0,39.7,"(41.77901155, -87.70541677)"
2482,3265,63RD STREET,HOMAN,63,34.8,17.4,"(41.77901054, -87.70779978)"
2483,3266,63RD STREET,ST. LOUIS,63,58.1,45.7,"(41.778892, -87.710133)"
2484,3267,63RD STREET,CENTRAL PARK (east leg),63,21.3,16.4,"(41.77891406, -87.71236398)"
2485,3269,63RD STREET,HAMLIN,63,26.8,36.6,"(41.77878128, -87.71769208)"
2486,3270,63RD STREET,SPRINGFIELD,63,22.0,59.7,"(41.77876193, -87.72020472)"
2487,3271,63RD STREET,PULASKI,63,109.4,313.2,"(41.778709, -87.722523)"
2488,3272,63RD STREET,KARLOV,63,60.9,36.7,"(41.778697, -87.72499)"
2489,3274,63RD STREET,KILDARE,63,38.0,26.6,"(41.778698, -87.729888)"
2490,3277,63RD STREET,KILBOURN,63,28.2,32.2,"(41.77857828, -87.73487445)"
2491,3279,63RD STREET,KILPATRICK,63,14.1,46.3,"(41.77852406, -87.73969845)"
2492,3281,63RD STREET,CICERO,63,51.4,300.7,"(41.77853286, -87.74204338)"
2493,3299,NARRAGANSETT,63RD STREET,55N,2.4,12.9,"(41.7775672, -87.78138169)"
2494,3300,NARRAGANSETT,63RD PLACE,55N,0.0,22.5,"(41.77655992, -87.78158992)"
2495,3311,63RD STREET,LONG,63W,12.5,2.4,"(41.77808128, -87.75696754)"
2496,3314,63RD STREET,LATROBE,63W,27.9,4.0,"(41.77811975, -87.75326521)"
2497,3315,63RD STREET,LEAMINGTON,63W,8.2,1.0,"(41.77819176, -87.75086666)"
2498,3316,63RD STREET,LAWLER,63W,6.0,1.3,"(41.77824702, -87.74845743)"
2499,3320,CICERO,64TH STREET,"54B,165",12.8,37.2,"(41.77674258, -87.74237673)"
2500,3321,CICERO,65TH STREET,165,9.3,9.9,"(41.77497051, -87.742376)"
2501,3322,65TH STREET,LAMON,165,2.4,9.9,"(41.77478905, -87.74442335)"
2502,3323,65TH STREET,LAVERGNE (east leg),165,2.6,8.5,"(41.7747378, -87.74683542)"
2503,3324,65TH STREET,LECLAIRE,165,3.2,23.3,"(41.77474386, -87.74875415)"
2504,3325,65TH STREET,5133 WEST,165,1.2,8.2,"(41.77468629, -87.75025109)"
2505,3326,65TH STREET,LARAMIE,165,2.0,14.4,"(41.77466046, -87.75168654)"
2506,3327,65TH STREET,LOCKWOOD,165,2.7,13.5,"(41.77461532, -87.75430253)"
2507,3328,65TH STREET,LONG,165,6.7,63.2,"(41.77456145, -87.75666745)"
2508,3329,65TH STREET,LINDER,165,8.6,68.5,"(41.77451256, -87.7590143)"
2509,3330,65TH STREET,CENTRAL,165,2.7,35.7,"(41.77448423, -87.76146949)"
2510,3331,65TH STREET,MAJOR (west leg),165,2.1,36.4,"(41.77444789, -87.76390693)"
2511,3332,65TH STREET,MENARD(west leg),165,11.4,66.8,"(41.77438801, -87.76632824)"
2512,3333,65TH STREET,MAYFIELD,165,3.0,24.7,"(41.77433671, -87.76881978)"
2513,3335,65TH STREET,MEADE,165,0.0,0.2,"(41.77424098, -87.77370967)"
2514,3350,65TH STREET,HARLEM(old-e.of mainline),165,0.3,0.0,"(41.7736229, -87.80034897)"
2515,3352,65TH STREET,SAYRE,165,5.4,0.1,"(41.77370161, -87.7959478)"
2516,3366,65TH STREET,MAJOR (east leg),165,0.0,0.0,"(41.77425132, -87.76411962)"
2517,3367,65TH STREET,CENTRAL,165,82.1,11.4,"(41.77429632, -87.76168062)"
2518,3368,65TH STREET,LINDER,165,23.6,1.4,"(41.77436997, -87.7590772)"
2519,3369,65TH STREET,LONG,165,24.8,3.1,"(41.77441797, -87.7566502)"
2520,3370,65TH STREET,LOCKWOOD,165,27.1,3.2,"(41.7744548, -87.75422914)"
2521,3371,65TH STREET,LARAMIE,165,66.3,13.1,"(41.77449884, -87.75202337)"
2522,3372,65TH STREET,5133 WEST,165,38.1,3.4,"(41.77450766, -87.75031145)"
2523,3374,65TH STREET,LAVERGNE (east leg),165,33.9,7.0,"(41.77459196, -87.74716381)"
2524,3375,65TH STREET,LAMON,165,79.7,16.3,"(41.77459097, -87.74452667)"
2525,3377,CICERO,64TH STREET,"54B,165",18.3,9.7,"(41.77643353, -87.74207027)"
2526,3378,63RD STREET,CICERO,63,296.0,58.1,"(41.77834269, -87.74191469)"
2527,3379,63RD STREET,KILPATRICK,63,30.5,24.6,"(41.7784, -87.739947)"
2528,3384,63RD STREET,KILDARE,63,21.9,37.0,"(41.778521, -87.730185)"
2529,3385,63RD STREET,KEELER,63,15.8,57.5,"(41.778549, -87.727742)"
2530,3386,63RD STREET,KARLOV,63,17.9,57.7,"(41.778577, -87.725298)"
2531,3389,63RD STREET,HAMLIN,63,26.0,36.4,"(41.778677, -87.717934)"
2532,3391,63RD STREET,CENTRAL PARK (east leg),63,12.9,35.0,"(41.77874854, -87.71260569)"
2533,3393,63RD STREET,HOMAN,63,7.4,29.8,"(41.77882, -87.70805)"
2534,3394,63RD STREET,SPAULDING,63,41.0,41.5,"(41.778863, -87.705626)"
2535,3395,63RD STREET,KEDZIE,63,358.3,200.4,"(41.77889387, -87.70327073)"
2536,3396,63RD STREET,ALBANY,63,160.5,38.4,"(41.778942, -87.700751)"
2537,3397,63RD STREET,SACRAMENTO,63,172.3,74.3,"(41.778981, -87.698325)"
2538,3398,63RD STREET,FRANCISCO,63,123.6,69.1,"(41.779016, -87.695894)"
2539,3400,63RD STREET,WASHTENAW,63,96.2,42.1,"(41.779087, -87.691023)"
2540,3402,63RD STREET,CAMPBELL,63,98.8,128.9,"(41.779157, -87.686176)"
2541,3404,63RD STREET,OAKLEY,63,61.7,16.8,"(41.779159, -87.681169)"
2542,3407,63RD STREET,HOYNE,63,53.9,42.6,"(41.77920108, -87.67651545)"
2543,3408,63RD STREET,DAMEN,63,243.4,136.2,"(41.77923894, -87.67406814)"
2544,3409,63RD STREET,WOLCOTT,63,154.5,74.7,"(41.77927, -87.67158)"
2545,3410,63RD STREET,WOOD,63,142.3,69.2,"(41.779297, -87.668824)"
2546,3411,63RD STREET,PAULINA,63,48.4,41.7,"(41.779331, -87.666739)"
2547,3413,63RD STREET,ASHLAND,63,889.3,751.8,"(41.77941275, -87.66384995)"
2548,3414,63RD STREET,LAFLIN,63,70.0,21.8,"(41.779445, -87.661884)"
2549,3415,63RD STREET,LOOMIS,63,101.9,44.8,"(41.779475, -87.659471)"
